"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (38)","/src/google/protobuf/compiler/parser.h","558","23","558","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (24)","/src/google/protobuf/io/tokenizer.h","94","23","94","31"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (77)","/src/google/protobuf/compiler/parser.h","68","23","68","28"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (19)","/src/google/protobuf/compiler/parser.h","218","25","218","40"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (37)","/src/google/protobuf/descriptor_database.h","286","23","286","47"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (46)
This class has too many dependencies (39)","/src/google/protobuf/descriptor_database.h","196","9","196","23"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (17)","/src/google/protobuf/descriptor_database.h","358","23","358","46"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (15)","/src/google/protobuf/descriptor_database.h","335","23","335","44"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (17)","/src/google/protobuf/compiler/importer.h","80","23","80","50"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (15)","/src/google/protobuf/io/printer.h","55","23","55","41"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (20)","/src/google/protobuf/text_format.h","526","25","526","30"
"Classes with too many source dependencies","Finds classes that depend on many other types; they could probably be refactored into smaller classes with fewer dependencies.","recommendation","This class has too many dependencies (77)","/src/google/protobuf/text_format.h","244","25","244","31"
